HSNCode,Description,CGST_Rate,SGST_Rate,IGST_Rate,CESS_Rate
01,LIVE ANIMALS,0.0,0.0,0.0,0.0
0101,"LIVE HORSES, ASSES, MULES AND HINNIES.",0.0,0.0,0.0,0.0
01011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",0.0,0.0,0.0,0.0
01011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",0.0,0.0,0.0,0.0
01011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",0.0,0.0,0.0,0.0
010121,PURE-BRED BREEDING ANIMALS,0.0,0.0,0.0,0.0
01012100,PURE-BRED BREEDING ANIMALS,0.0,0.0,0.0,0.0
010129,other,0.0,0.0,0.0,0.0
01012910,Horses for polo,0.0,0.0,0.0,0.0
01012990,other,0.0,0.0,0.0,0.0
010130,Asses,0.0,0.0,0.0,0.0
01013010,Pure-bred breeding animals,0.0,0.0,0.0,0.0
01013020,livestock,0.0,0.0,0.0,0.0
01013090,other,0.0,0.0,0.0,0.0
010190,Other,0.0,0.0,0.0,0.0
01019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",0.0,0.0,0.0,0.0
01019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",0.0,0.0,0.0,0.0
01019030,Mules and hinnies as livestock,0.0,0.0,0.0,0.0
01019090,OTHER,0.0,0.0,0.0,0.0
0102,LIVE BOVINE ANIMALS.,0.0,0.0,0.0,0.0
01021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,0.0,0.0,0.0,0.0
01021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",0.0,0.0,0.0,0.0
01021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",0.0,0.0,0.0,0.0
01021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,0.0,0.0,0.0,0.0
010221,Pure-bred breeding animals,0.0,0.0,0.0,0.0
01022110,Bulls,0.0,0.0,0.0,0.0
01022120,Cows,0.0,0.0,0.0,0.0
010229,Other,0.0,0.0,0.0,0.0
01022910,Bulls,0.0,0.0,0.0,0.0
01022990,"OTHER, INCLUDING CALVES",0.0,0.0,0.0,0.0
010231,PURE-BRED BREEDING ANIMALS,0.0,0.0,0.0,0.0
01023100,Pure-bred breeding animals,0.0,0.0,0.0,0.0
010239,OTHER,0.0,0.0,0.0,0.0
01023900,OTHER,0.0,0.0,0.0,0.0
010290,Other,0.0,0.0,0.0,0.0
01029010,PURE-BRED BREEDING ANIMALS,0.0,0.0,0.0,0.0
01029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",0.0,0.0,0.0,0.0
01029090,OTHER,0.0,0.0,0.0,0.0
0103,LIVE SWINE,0.0,0.0,0.0,0.0
010310,PURE-BRED BREEDING ANIMALS,0.0,0.0,0.0,0.0
01031000,PURE-BRED BREEDING ANIMALS,0.0,0.0,0.0,0.0
010391,WEIGHING LESS THAN 50KG,0.0,0.0,0.0,0.0
01039100,WEIGHING LESS THAN 50KG,0.0,0.0,0.0,0.0
010392,WEIGHING 50KG OR MORE,0.0,0.0,0.0,0.0
01039200,WEIGHING 50KG OR MORE,0.0,0.0,0.0,0.0
0104,LIVE SHEEP AND GOATS,0.0,0.0,0.0,0.0
010410,Sheep,0.0,0.0,0.0,0.0
01041010,SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,0.0,0.0,0.0,0.0
01041090,OTHER,0.0,0.0,0.0,0.0
010420,GOATS,0.0,0.0,0.0,0.0
01042000,GOATS,0.0,0.0,0.0,0.0
0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.",0.0,0.0,0.0,0.0
010511,FOWLS OF THE SPECIES GALLUS DOMESTICUS,0.0,0.0,0.0,0.0
01051100,FOWLS OF THE SPECIES GALLUS DOMESTICUS,0.0,0.0,0.0,0.0
010512,TURKEYS,0.0,0.0,0.0,0.0
01051200,TURKEYS,0.0,0.0,0.0,0.0
010513,DUCKS,0.0,0.0,0.0,0.0
01051300,Ducks,0.0,0.0,0.0,0.0
010514,GEESE,0.0,0.0,0.0,0.0
01051400,Geese,0.0,0.0,0.0,0.0
010515,GUINEA FOWLS,0.0,0.0,0.0,0.0
01051500,Guinea fowls,0.0,0.0,0.0,0.0
01051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",0.0,0.0,0.0,0.0
01059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",0.0,0.0,0.0,0.0
01059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",0.0,0.0,0.0,0.0
010594,FOWLS OF THE SPECIES GALLUS DOMESTICUS,0.0,0.0,0.0,0.0
01059400,FOWLS OF THE SPECIES GALLUS DOMESTICUS,0.0,0.0,0.0,0.0
010599,OTHER,0.0,0.0,0.0,0.0
01059900,OTHER,0.0,0.0,0.0,0.0
0106,OTHER LIVE ANIMALS.,0.0,0.0,0.0,0.0
010611,PRIMATES,0.0,0.0,0.0,0.0
01061100,PRIMATES,0.0,0.0,0.0,0.0
010612,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",0.0,0.0,0.0,0.0
01061200,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",0.0,0.0,0.0,0.0
010613,CAMELS AND OTHER CAMELIDS (CAMELIDAE),0.0,0.0,0.0,0.0
01061300,Camels and other camelids (Camelidae),0.0,0.0,0.0,0.0
010614,RABBITS AND HARES,0.0,0.0,0.0,0.0
01061400,RABBITS AND HARES,0.0,0.0,0.0,0.0
010619,OTHER,0.0,0.0,0.0,0.0
01061900,OTHER,0.0,0.0,0.0,0.0
010620,REPTILES (INCLUDING SNAKES AND TURTLES),0.0,0.0,0.0,0.0
01062000,REPTILES (INCLUDING SNAKES AND TURTLES),0.0,0.0,0.0,0.0
010631,BIRDS OF PREY,0.0,0.0,0.0,0.0
01063100,BIRDS OF PREY,0.0,0.0,0.0,0.0
010632,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",0.0,0.0,0.0,0.0
01063200,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",0.0,0.0,0.0,0.0
010633,"OSTRICHES,EMUS (DROMAIUS NOVAEHOLLANDIAE)",0.0,0.0,0.0,0.0
01063300,"OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)",0.0,0.0,0.0,0.0
010639,OTHER,0.0,0.0,0.0,0.0
01063900,OTHER,0.0,0.0,0.0,0.0
010641,Bees,0.0,0.0,0.0,0.0
01064110,Pureline stock,0.0,0.0,0.0,0.0
01064190,other,0.0,0.0,0.0,0.0
010649,Other,0.0,0.0,0.0,0.0
01064910,Pureline Stock,0.0,0.0,0.0,0.0
01064990,Other,0.0,0.0,0.0,0.0
010690,Other,0.0,0.0,0.0,0.0
01069000,Other,0.0,0.0,0.0,0.0
01069010,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",0.0,0.0,0.0,0.0
01069020,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,0.0,0.0,0.0,0.0
01069090,OTHER LIVE ANIMALS - OTHER - OTHER,0.0,0.0,0.0,0.0
02,Meat and edible meat offal,0.0,0.0,0.0,0.0
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED",0.0,0.0,0.0,0.0
020110,CARCASES AND HALF-CARCASES,0.0,0.0,0.0,0.0
02011000,CARCASES AND HALF-CARCASES,0.0,0.0,0.0,0.0
020120,OTHER CUTS WITH BONE IN,0.0,0.0,0.0,0.0
02012000,OTHER CUTS WITH BONE IN,0.0,0.0,0.0,0.0
020130,BONELESS,0.0,0.0,0.0,0.0
02013000,BONELESS,0.0,0.0,0.0,0.0
0202,"MEAT OF BOVINE ANIMALS, FROZEN",0.0,0.0,0.0,0.0
020210,CARCASES AND HALF-CARCASES,0.0,0.0,0.0,0.0
02021000,CARCASES AND HALF-CARCASES,0.0,0.0,0.0,0.0
